USER_UUID,USER_CREATED_AT,PROFILE_COMPLETE_AT,HOW_CAN_WE_HELP_YOU,PREVIOUS_EDUCATION_LEVEL,EMPLOYER
88c081a7-99f8-4137-96c0-db9ae8a6e241,2021-01-22 5:17:54,2021-01-29 0:04:45,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Tree Stores
b3ee90e2-b1f7-4c73-a8bc-cc9ffa8101e3,2021-01-02 22:07:37,2021-01-02 22:09:54,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Box Stores
0e047881-27cb-4818-bd7f-d817a5be79d7,2021-01-04 0:53:22,2021-01-04 0:58:51,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some High School,Electronics United
a887780d-bc96-49cf-9aa3-26aa87cb82a3,2020-09-25 4:09:16,2021-01-15 5:04:26,I want to go back to school but I’m not sure what I want to study,Some College,Soccer Plus
dc212dd3-d98e-47a5-af3a-318781985119,2021-01-11 22:32:41,2021-01-11 22:34:03,I am already enrolled in a university or school,Some College,Tree Stores
8dd9a79f-60e6-40e4-ad3c-f3a6514aabdb,2021-01-16 5:25:50,2021-01-16 5:27:17,I want to go back to school but I’m not sure what I want to study,Some College,Box Stores
d3e73cc9-45a6-4c4b-bbff-f3cb15fb538e,2021-01-05 20:14:32,2021-01-05 20:16:06,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Electronics United
353c3333-a2fa-4ff4-b845-76c592f23883,2020-10-29 3:07:38,2021-01-12 2:54:49,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Soccer Plus
c720553a-8247-4b3d-a8fb-56e1976926b4,2021-01-02 17:26:33,2021-01-02 17:27:55,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Bachelors Degree,Tree Stores
e989a4f1-0f38-426c-b1c0-9d43b667fc49,2018-06-03 16:05:39,2021-01-25 3:16:04,Share Information,Some College,Box Stores
37984531-e627-4dc2-a4c3-b472eb995e6e,2021-01-16 4:55:42,2021-01-16 4:56:59,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Electronics United
710be25c-ccaa-448f-8314-ac345a3fd370,2021-01-22 16:27:31,2021-01-22 16:29:12,I am already enrolled in a university or school,Master's Degree,Soccer Plus
5e3b5ff9-0183-4690-ad1d-6387a96605ee,2021-01-07 1:08:59,2021-01-07 1:10:08,I am already enrolled in a university or school,Some College,Tree Stores
1cdeadee-fb49-4c85-a1cc-8017d78fd3ac,2021-01-13 21:22:28,2021-01-13 21:23:56,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Box Stores
cbac8f2e-bbef-4128-94b9-7129781bd262,2021-01-11 7:50:45,2021-01-11 7:52:10,I am already enrolled in a university or school,Some College,Electronics United
16ec9f45-3785-40cc-a8fe-dc9487dfb2ad,2021-01-20 15:31:48,2021-01-20 15:33:32,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Soccer Plus
d0209996-a2b7-45b3-8513-07663ebbafec,2021-01-29 21:14:49,2021-01-29 21:24:37,I'm honestly not sure about going back to school,Master's Degree,Tree Stores
9fede322-004c-40b3-96e1-a14bb8120fb2,2021-01-06 19:56:58,2021-01-06 20:00:03,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Box Stores
0676d2c8-431e-4b80-946b-e7ff7eb16002,2021-01-12 8:12:23,2021-01-12 8:14:10,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Associates Degree,Electronics United
32744341-027c-48b5-962f-82a52c22305f,2021-01-08 21:21:10,2021-01-08 21:23:48,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some High School,Soccer Plus
bb90e25f-c06f-45e9-9c95-cfa0f0b9fb5b,2021-01-06 20:41:23,2021-01-06 20:42:31,I want to go back to school but I’m not sure what I want to study,Bachelors Degree,Tree Stores
98e1b3eb-2a1b-4b1f-8b49-0f8426b34d4a,2021-01-20 13:42:29,2021-01-20 13:44:08,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Box Stores
4fb96ef3-6f69-4619-8495-b4b6f1a7d34d,2021-01-23 11:18:37,2021-01-23 11:20:57,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Electronics United
3acb325b-b38b-4351-abfa-178c7b574ad9,2021-01-06 0:40:33,2021-01-06 0:41:19,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Soccer Plus
ef7b409e-bbff-431e-8b90-ae2d8fd9e1f7,2021-01-14 21:53:35,2021-01-14 21:58:50,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some High School,Tree Stores
e9b48981-6154-458a-bbd6-c64f0032caac,2019-05-12 3:23:09,2021-01-20 22:30:23,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Box Stores
761389a6-d99f-4cc2-b950-e27f8270807e,2021-01-13 18:42:28,2021-01-13 18:45:16,I'm honestly not sure about going back to school,Master's Degree,Electronics United
de8f1bc8-5318-4f9c-80d6-a5cf5e71cb81,2021-01-28 1:46:58,2021-01-28 1:48:45,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Soccer Plus
ecc2560d-cddb-4288-982a-957fc53b257c,2021-01-27 19:42:42,2021-01-27 19:44:10,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Associates Degree,Tree Stores
3226ea1f-9c50-4d77-b34f-3b0056f1d90b,2019-06-23 11:42:38,2021-01-28 0:40:42,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some High School,Box Stores
bbc39896-3d63-4402-9138-629921178c1c,2021-01-24 22:06:29,2021-01-24 22:08:14,I want to go back to school but I’m not sure what I want to study,Some College,Electronics United
e7da3782-cb6b-453b-a199-f43795584ce8,2021-01-03 22:17:16,2021-01-03 22:20:04,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Soccer Plus
f0379e61-4456-4806-8a5a-9534b1b059c6,2021-01-15 12:39:47,2021-01-15 12:41:41,I want to go back to school but I’m not sure what I want to study,Some College,Tree Stores
7103d5fe-c137-49cd-bf5c-327c1f19ef2f,2021-01-11 3:11:24,2021-01-11 3:13:27,I am already enrolled in a university or school,Bachelors Degree,Box Stores
34f4eb65-b9ba-4eaf-bca4-900fe29559e0,2021-01-05 21:00:47,2021-01-05 21:02:01,I want to go back to school but I’m not sure what I want to study,Some College,Electronics United
0474d9df-f0d5-4939-86d9-2be61aeaf4a0,2021-01-22 19:25:18,2021-01-22 19:27:45,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Master's Degree,Soccer Plus
625bb5b3-8c2f-47f2-9b61-e0b5ff269357,2021-01-20 0:59:08,2021-01-20 1:00:53,I am already enrolled in a university or school,Bachelors Degree,Tree Stores
c4e7e867-3436-4da7-a1af-c35355d2a77d,2021-01-25 21:12:30,2021-01-25 21:14:12,I want to go back to school but I’m not sure what I want to study,Bachelors Degree,Box Stores
df7bc557-7530-4a5d-b6b2-37588de538a9,2021-01-27 19:13:58,2021-01-27 19:15:28,I want to go back to school but I’m not sure what I want to study,Some College,Electronics United
23b95e16-0837-431c-807b-567ea54494cf,2021-01-12 2:46:52,2021-01-12 2:48:59,I want to go back to school but I’m not sure what I want to study,Some College,Soccer Plus
5403d030-8555-4c98-806e-5b9edaf5d6b5,2021-01-25 22:51:25,2021-01-25 22:53:31,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Master's Degree,Tree Stores
d34abdb1-af6f-4a47-90d5-3f3c95ba7e00,2021-01-30 16:59:40,2021-01-30 17:03:54,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Box Stores
e0977d89-89af-425f-bd02-d916bee7bf3e,2021-01-14 23:59:48,2021-01-15 0:01:58,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some High School,Electronics United
2c882d68-c9d7-424a-ac60-61ad26249dc2,2021-01-22 13:48:41,2021-01-22 13:50:48,I am already enrolled in a university or school,Bachelors Degree,Soccer Plus
5ddb9086-5b4c-48a8-a794-cfdbb4f82aec,2021-01-20 22:10:57,2021-01-20 22:12:59,I am already enrolled in a university or school,Master's Degree,Tree Stores
853218e5-81de-4eba-b7ff-a2b09ebe410d,2021-01-04 11:32:18,2021-01-04 11:34:33,I want to go back to school but I’m not sure what I want to study,Some College,Box Stores
4818254d-69f1-4b5a-a227-a21780416d6d,2021-01-09 18:49:22,2021-01-09 18:50:40,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Master's Degree,Electronics United
5a8b3087-e7fe-45f9-afe5-ede80b66a19b,2021-01-26 17:11:39,2021-01-26 17:14:57,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Soccer Plus
f90801a0-b35d-48e1-9964-f7f77cfcc322,2021-01-20 18:28:50,2021-01-20 18:31:44,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Tree Stores
049e0470-aa0d-411a-be21-5811aa1fc0b9,2021-01-26 15:22:04,2021-01-26 15:24:07,I want to go back to school but I’m not sure what I want to study,Some College,Box Stores
a72e18b4-3152-4f35-bd09-027c234e9240,2021-01-22 14:32:51,2021-01-22 14:34:46,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Electronics United
0abb4830-c0d0-4cd9-bb65-91bc9838f6ce,2021-01-11 17:20:12,2021-01-11 17:23:31,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Soccer Plus
19c77c41-3a91-484e-b441-6662cb416789,2021-01-07 1:12:58,2021-01-07 1:15:35,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Tree Stores
403c3559-9182-4c98-8af7-9e8ed9104297,2021-01-08 0:30:01,2021-01-08 0:31:35,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some High School,Box Stores
42625cd2-a6b2-40a8-b36c-b2a12f643f63,2020-09-03 20:16:17,2021-01-10 17:51:38,I want to go back to school but I’m not sure what I want to study,Some College,Electronics United
58fc92f5-12e9-47aa-8aee-ae83a36fd9e7,2021-01-12 0:49:35,2021-01-12 0:50:57,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Soccer Plus
5dc41d77-9f3a-4d42-90f6-3202357abc99,2021-01-06 14:35:23,2021-01-06 14:36:48,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Tree Stores
6348c009-4f06-4ab2-8581-745e89f8c1e3,2021-01-04 18:11:34,2021-01-04 18:13:10,I am already enrolled in a university or school,Bachelors Degree,Box Stores
48f5e3e9-cdda-4698-af45-5c8fccaabb21,2021-01-13 14:39:18,2021-01-13 14:42:36,I'm honestly not sure about going back to school,Bachelors Degree,Electronics United
296beac6-08c2-460d-abbf-570a7e95ebc0,2021-01-19 15:50:11,2021-01-19 15:53:32,I am already enrolled in a university or school,Bachelors Degree,Soccer Plus
38d401ee-0499-4530-9175-933ee2c470a1,2021-01-29 15:32:27,2021-01-29 15:40:55,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Tree Stores
29f3dc82-9669-42e4-91c7-489aa03d6f8a,2021-01-11 19:54:39,2021-01-11 19:55:53,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Bachelors Degree,Box Stores
a468f341-39c0-43e6-bf09-6286c6ee14f7,2021-01-21 3:49:26,2021-01-21 3:55:43,I want to go back to school but I’m not sure what I want to study,Bachelors Degree,Electronics United
9b27c7ce-65c0-4811-84c4-3ee381e690a8,2018-04-26 23:36:48,2021-01-20 23:23:50,,,Soccer Plus
6f8bb55a-03fc-41e7-8043-d0fa72e0567c,2020-01-29 1:08:51,2021-01-03 23:55:56,I want to go back to school but I’m not sure what I want to study,Some College,Tree Stores
3d7eb6bb-11fb-4ba2-be48-4f701602c5c5,2021-01-20 15:00:22,2021-01-20 15:02:20,I am already enrolled in a university or school,Bachelors Degree,Box Stores
bd158d7c-3746-41c9-8a38-24a9979211bf,2021-01-09 20:11:05,2021-01-09 20:13:24,I'm honestly not sure about going back to school,Bachelors Degree,Electronics United
1c5915c5-ee9b-4b12-bc41-d78ed1693f6a,2021-01-19 3:20:06,2021-01-19 3:21:46,I am already enrolled in a university or school,Some College,Soccer Plus
a19c7b3b-4d9d-4a8a-a2b4-da62eaf5793c,2021-01-13 0:18:20,2021-01-13 0:20:10,I am already enrolled in a university or school,Bachelors Degree,Tree Stores
711cadef-f1f5-4419-8aa3-18df1401274d,2020-01-08 23:48:57,2021-01-27 20:47:40,I'm honestly not sure about going back to school,Some College,Box Stores
7830ac12-9e45-419a-8c25-064a85ee250e,2021-01-03 10:54:26,2021-01-03 10:58:14,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Electronics United
7a5dbf11-682a-43a1-aa6f-4beedc79a9b8,2021-01-19 23:10:39,2021-01-19 23:12:47,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Soccer Plus
d69a0761-83cb-4989-a632-91ec33b21950,2021-01-20 19:37:53,2021-01-20 19:39:29,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Master's Degree,Tree Stores
9154b849-ad99-48b5-bb1b-61987af5d5f3,2021-01-25 22:38:57,2021-01-25 22:40:08,I am already enrolled in a university or school,Some High School,Box Stores
22be5945-a5e0-4d10-9433-5d64aecef081,2021-01-22 13:45:09,2021-01-22 20:34:21,I want to go back to school but I’m not sure what I want to study,Master's Degree,Electronics United
9a1136c6-45af-4140-a972-f89cd8669958,2021-01-21 21:59:15,2021-01-21 22:02:20,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Soccer Plus
6e01b1ad-5b57-4a4a-b6d6-30c5e3c89975,2021-01-08 17:38:28,2021-01-29 21:13:36,I want to go back to school but I’m not sure what I want to study,Some College,Tree Stores
70038673-4462-4394-ac52-e87b21f1f8ca,2021-01-11 20:40:45,2021-01-11 20:42:37,I want to go back to school but I’m not sure what I want to study,Associates Degree,Box Stores
912ec2af-dfde-4eb8-8420-8bb65a313eeb,2021-01-30 21:32:47,2021-01-30 21:34:46,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some College,Electronics United
8d2e8474-71a7-4168-93c7-8a1c63c0c4cc,2021-01-10 5:22:18,2021-01-10 5:23:22,I want to go back to school but I’m not sure what I want to study,Some College,Soccer Plus
90854e66-7293-48e3-97a4-2c6dc4e0b341,2021-01-17 19:50:44,2021-01-17 19:52:12,"I want to go back to school, and I know what type of program, degree, or certificate I want to complete",Some High School,Tree Stores
6f7fe934-1213-4a74-be01-58cd63323f08,2021-01-29 7:10:15,2021-01-29 7:11:55,I want to go back to school but I’m not sure what I want to study,Some College,Box Stores
dd5a2ad3-693f-48a8-be3c-79ba1fa4a810,2021-01-17 16:00:53,2021-01-17 16:02:02,I am already enrolled in a university or school,Some College,Electronics United
